x,y,z,w,name
15.55,28.65,78.94292999,56.36116574,1
14.9,27.55,86.31247744,92.97125299,2
14.45,28.35,63.48995153,45.36031987,3
14.15,28.8,94.93311017,9.127248146,4
13.75,28.05,6.771600886,70.00289236,5
13.35,28.45,77.75811125,62.6679405,6
13,29.15,90.08965835,46.8733561,7
13.45,27.5,51.00305117,91.88873999,8
13.6,26.5,99.34242124,51.19112339,9
12.8,27.35,40.68804032,8.805069149,10
12.4,27.85,89.7280124,11.17418539,11
12.3,28.4,9.677998108,98.08212649,12
12.2,28.65,66.24969664,61.51864525,13
13.4,25.1,63.57309408,89.66532659,14
12.95,25.95,21.83554941,28.81892661,15
12.9,26.5,55.64012247,56.06243158,16
11.85,27,57.93938252,39.4059175,17
11.35,28,16.0371567,84.51160782,18
11.15,28.7,25.63635276,19.58285512,19
11.25,27.4,52.35768972,82.27141762,20
10.75,27.7,5.163992656,22.42047745,21
10.5,28.35,86.50273183,80.03416034,22
9.65,28.45,97.54566461,6.334830979,23
10.25,27.25,24.15588198,53.8868439,24
10.75,26.55,61.48317182,57.93512204,25
11.7,26.35,67.92408034,68.67608002,26
11.6,25.9,26.53979748,51.10599144,27
11.9,25.05,21.23387383,72.86374097,28
12.6,24.05,91.05494665,28.68704844,29
11.9,24.5,13.04023693,33.88330931,30
11.1,25.2,60.67248754,26.87652123,31
10.55,25.15,75.87898404,81.82062341,32
10.05,25.95,38.53650222,1.951349148,33
9.35,26.6,90.4057434,42.17087089,34
9.3,27.25,94.73344961,76.57204595,35
9.2,27.8,17.52089912,9.403018374,36
7.5,28.25,58.35695097,67.70912718,37
8.55,27.45,93.05330171,55.96098203,38
8.5,27.05,78.55139794,12.59662363,39
8.05,27.2,27.66168557,27.85339973,40
7.85,26.8,8.468767373,17.44874932,41
7.3,27.4,32.65947651,18.03593346,42
6.8,26.85,12.79846398,50.98252613,43
7,26.5,52.95891344,23.0459887,44
7.55,26.3,86.86048899,86.58048884,45
8.55,26.3,93.44595882,75.1828811,46
9,25.85,83.54438363,45.53894433,47
8.6,25.65,41.68510914,40.81826226,48
9.4,25.55,87.41318151,12.50983454,49
8.45,25.05,43.3208218,8.81475463,50
8.85,24.6,65.25310242,8.544447589,51
9.65,24.7,47.86547171,61.66191188,52
10.55,24.35,16.88265527,29.97859368,53
11.05,23.9,11.39024349,87.78851563,54
10.55,23.55,42.1691396,12.0378707,55
9.45,23.35,36.05348659,76.22002301,56
9.2,23.9,46.80418613,5.41083892,57
8.35,23.9,69.86453975,12.07857764,58
7.35,24.75,23.59999339,68.04502114,59
7.4,25.45,32.50241513,84.8064918,60
6.6,25.75,33.63660983,46.5354003,61
6.1,26,33.34133781,88.48427721,62
5.8,26.95,1.285937785,24.70347772,63
5.65,25.8,71.55349967,73.24657888,64
5.3,26.1,65.83281579,45.73671306,65
6.4,25.4,72.25559645,78.56449515,66
5.4,25.25,59.35147824,86.40523417,67
5.35,24.7,68.68477263,11.14173292,68
4.8,25.05,59.38471896,78.85580835,69
4.2,25.55,32.44798354,86.5805124,70
6.4,24.8,88.53071715,9.703580731,71
6.55,24.3,4.473980081,87.07442237,72
7.4,24.25,6.343102842,74.98075535,73
5.45,24.2,81.98290581,39.58763785,74
4.3,24,1.0351866,28.56775685,75
4,24.25,69.41975712,94.86781832,76
3.35,23.3,28.89095861,22.85621705,77
4.85,23.05,1.001806612,25.3978572,78
4.3,22.75,73.58033588,44.20729388,79
5.85,23.4,99.4101989,44.3349271,80
5.9,23.55,58.32049601,66.60707171,81
7.55,23.7,77.97599841,95.52689872,82
6.85,23.25,52.54775432,74.87738285,83
7.65,23.1,66.50559182,57.76759589,84
6.95,22.55,84.488374,54.1876535,85
6.1,22.6,61.18314667,84.35266372,86
5.5,22.6,53.38651618,97.78479965,87
4.7,22.1,25.87539936,80.62535212,88
3.8,21.85,69.81221648,90.65605735,89
4.65,21.2,49.45691881,5.749117015,90
4.15,20.35,2.619025593,86.29343325,91
5.3,20.4,33.97319642,60.17517099,92
5.6,20.75,9.485009254,62.68008294,93
5.8,21.95,57.80970945,48.94218499,94
6.4,21.95,88.68231331,10.94159765,95
