타율,연봉,class_label,name,OPS,타석,WAR
0.376,70000,1,최형우,1.116,618,7.75
0.321,125000,1,테임즈,1.106,529,5.97
0.288,100000,1,최정,0.983,606,5.82
0.325,5000,0,김재환,1.035,568,5.75
0.335,50000,1,황재균,0.964,559,5.55
0.365,160000,1,김태균,1.045,652,5.5
0.323,60000,1,손아섭,0.886,672,5.3
0.323,100000,1,강민호,0.981,460,5
0.308,50000,1,히메네스,0.889,579,4.85
0.319,42000,1,양의지,0.973,392,4.81
0.307,75000,1,박석민,0.982,506,4.78
0.335,7000,0,박건우,0.94,540,4.51
0.325,26000,0,서건창,0.847,646,4.46
0.309,30000,0,나성범,0.885,653,4.42
0.31,70000,1,정근우,0.845,650,4.37
0.31,65000,1,이범호,0.953,560,4.36
0.352,70000,1,이용규,0.872,530,4.31
0.325,35000,0,민병헌,0.891,579,4.24
0.28,25000,0,오지환,0.881,472,4.16
0.346,50000,1,김주찬,0.952,555,4.12
0.343,19000,0,박민우,0.847,515,4.09
0.313,23000,0,박경수,0.934,476,4.04
0.316,9500,0,오재일,1.003,455,4.03
0.343,8000,0,구자욱,0.967,495,3.96
0.308,20000,0,나지완,1.022,486,3.94
0.281,16000,0,김하성,0.836,599,3.81
0.308,55000,1,에반스,0.975,481,3.76
0.306,22000,0,김민성,0.869,579,3.37
0.336,60000,1,유한준,0.897,460,3.29
0.31,41000,0,김재호,0.829,496,3.24
0.292,5800,0,서동욱,0.883,485,3.13
0.295,60000,1,대니돈,0.893,497,3.03
0.321,100000,1,로사리오,0.961,532,3.01
0.334,16000,0,윤석민,0.966,402,2.96
0.346,80000,1,박용택,0.87,578,2.96
0.325,10000,0,송광민,0.873,494,2.95
0.305,40000,0,손시헌,0.817,403,2.73
0.303,100000,1,이승엽,0.899,623,2.62
0.305,50000,1,이종욱,0.785,517,2.54
0.325,7000,0,김문호,0.831,599,2.47
0.334,7700,0,고종욱,0.825,566,2.36
0.319,18000,0,김성현,0.794,530,2.29
0.265,75000,1,마르테,0.877,381,2.27
0.298,60000,1,김강민,0.809,422,2.19
0.283,65000,1,고메즈,0.814,492,2.19
0.3,15000,0,박해민,0.767,641,2.19
0.281,5500,0,김주형,0.854,387,2.17
0.313,90000,1,필,0.868,544,2.12
0.313,5500,0,채은성,0.809,451,2.01
0.311,12000,0,정의윤,0.858,616,2
0.309,50000,1,이택근,0.811,460,1.93
0.29,28000,0,이재원,0.799,472,1.93
0.286,20000,0,허경민,0.745,609,1.91
0.318,6000,0,김용의,0.8,347,1.8
0.32,30000,0,이대형,0.726,654,1.75
0.298,75000,1,이호준,0.902,472,1.71
0.332,60000,1,이진영,0.883,424,1.66
0.322,12000,0,손주인,0.798,409,1.61
0.301,45000,1,박한이,0.854,401,1.57
0.272,55000,1,오재원,0.713,484,1.43
0.292,78000,1,아두치,0.81,272,1.41
0.322,50000,1,정성훈,0.815,418,1.37
0.288,4500,0,백상원,0.725,517,1.36
0.265,5500,0,김성욱,0.802,348,1.23
0.261,3000,0,김준완,0.724,325,1.18
0.335,11000,0,조영훈,0.905,207,1.18
0.272,15600,0,이병규,0.789,350,1.18
0.333,5000,0,최재원,0.975,105,1.15
0.309,2700,0,박정음,0.808,263,1.1
0.266,7000,0,이홍구,0.783,273,1.01
0.331,12500,0,모창민,0.874,147,1
0.279,3200,0,하주석,0.733,441,1
0.297,21000,0,이지영,0.711,419,0.98
0.309,3000,0,노수광,0.779,238,0.91
0.248,14000,0,박동원,0.72,454,0.85
0.277,40000,0,박정권,0.797,468,0.84
0.266,80000,1,발디리스,0.851,190,0.84
0.309,5500,0,신본기,0.846,104,0.82
0.293,2800,0,이천웅,0.778,320,0.82
0.288,25000,0,이성열,0.855,219,0.81
0.266,4200,0,최승준,0.942,231,0.8
0.275,40000,0,조동찬,0.797,282,0.79
0.288,6500,0,문선재,0.885,127,0.79
0.267,6000,0,김호령,0.706,514,0.78
0.321,4000,0,김재현,0.807,193,0.78
0.266,8100,0,유강남,0.705,297,0.78
0.31,12000,0,신종길,0.775,240,0.76
0.288,28000,0,맥스웰,0.914,99,0.75
0.262,21000,0,정훈,0.7,439,0.73
0.288,3000,0,류지혁,0.763,134,0.73
0.266,16000,0,배영섭,0.73,381,0.71
0.262,40000,0,최준석,0.852,396,0.7
0.305,2700,0,전민수,0.795,240,0.7
0.304,8000,0,오정복,0.76,344,0.67
0.257,3000,0,김민식,0.72,170,0.64
0.329,3000,0,최정민,0.754,177,0.63
0.249,4000,0,임병욱,0.732,265,0.59
0.386,20000,0,나주환,1.12,65,0.57
0.29,2800,0,김상호,0.76,415,0.57
0.336,2700,0,김동엽,0.878,150,0.56
0.278,3000,0,국해성,0.798,174,0.55
0.282,3200,0,유민상,0.778,254,0.55
0.26,7500,0,이흥련,0.769,174,0.54
0.298,20000,0,박재상,0.794,288,0.49
0.252,6000,0,서상우,0.8,137,0.47
0.238,6500,0,윤요섭,0.784,149,0.46
0.299,2900,0,윤정우,0.863,82,0.46
0.271,31000,0,김상수,0.658,401,0.4
0.275,3000,0,김준태,0.751,144,0.39
0.278,3700,0,신성현,0.841,184,0.38
0.261,8000,0,박헌도,0.871,82,0.36
0.316,15000,0,이원석,1.153,22,0.36
0.458,2700,0,최원준,1.083,25,0.35
0.286,5500,0,김지수,0.793,106,0.32
0.329,18500,0,최진행,0.834,85,0.31
0.276,2700,0,박승욱,0.802,103,0.28
0.375,5200,0,정진호,0.99,32,0.27
0.272,3000,0,문규현,0.675,368,0.27
0.264,20000,0,김경언,0.753,217,0.26
0.35,8000,0,김태완,0.958,24,0.25
0.295,17500,0,김종호,0.679,137,0.23
0.302,7000,0,김다원,0.78,47,0.22
0.333,2016,0,백창수,1.04,21,0.22
0.36,13000,0,김선빈,0.905,27,0.2
0.253,20500,0,전준우,0.723,113,0.19
0.231,2700,0,지재옥,0.873,17,0.19
0.429,3000,0,황대인,1.571,7,0.17
0.281,11000,0,최주환,0.726,182,0.16
0.265,3300,0,오준혁,0.749,144,0.15
0.4,3000,0,박광열,0.8,15,0.13
0.375,2400,0,박준혁,1.069,9,0.13
0.218,7500,0,허도환,0.635,93,0.11
0.273,15000,0,박기혁,0.666,348,0.1
0.429,2700,0,김웅빈,1.043,15,0.1
0.28,4000,0,이상호,0.693,27,0.1
0.219,15000,0,김원섭,0.636,90,0.08
0.2,3300,0,장시윤,0.629,14,0.07
0.276,7000,0,양석환,0.721,215,0.06
0.25,8000,0,권용관,0.653,49,0.06
0.242,28000,0,정수빈,0.624,305,0.05
0.292,3000,0,신현철,0.695,25,0.05
0.209,3000,0,박세혁,0.639,210,0.04
0.25,15000,0,고영민,0.9,5,0.04
0.268,5100,0,권희동,0.703,47,0.04
0.278,6500,0,한동민,0.628,20,0.02
0.267,4100,0,안익훈,0.664,52,0.02
0.192,3300,0,장영석,0.633,33,0.02
0.321,2900,0,김사훈,0.744,36,0.02
0.2,3000,0,오현근,0.494,17,0.02
0.296,2700,0,최정용,0.685,61,0.01
0.282,2700,0,이형종,0.737,147,0
0.271,2800,0,양성우,0.701,446,0
