타석,class_label,WAR,name,OPS
618,1,7.75,최형우,1.116
529,1,5.97,테임즈,1.106
606,1,5.82,최정,0.983
568,0,5.75,김재환,1.035
559,1,5.55,황재균,0.964
652,1,5.5,김태균,1.045
672,1,5.3,손아섭,0.886
460,1,5,강민호,0.981
579,1,4.85,히메네스,0.889
392,1,4.81,양의지,0.973
506,1,4.78,박석민,0.982
540,0,4.51,박건우,0.94
646,0,4.46,서건창,0.847
653,0,4.42,나성범,0.885
650,1,4.37,정근우,0.845
560,1,4.36,이범호,0.953
530,1,4.31,이용규,0.872
579,0,4.24,민병헌,0.891
472,0,4.16,오지환,0.881
555,1,4.12,김주찬,0.952
515,0,4.09,박민우,0.847
476,0,4.04,박경수,0.934
455,0,4.03,오재일,1.003
495,0,3.96,구자욱,0.967
486,0,3.94,나지완,1.022
599,0,3.81,김하성,0.836
481,1,3.76,에반스,0.975
579,0,3.37,김민성,0.869
460,1,3.29,유한준,0.897
496,0,3.24,김재호,0.829
485,0,3.13,서동욱,0.883
497,1,3.03,대니돈,0.893
532,1,3.01,로사리오,0.961
402,0,2.96,윤석민,0.966
578,1,2.96,박용택,0.87
494,0,2.95,송광민,0.873
403,0,2.73,손시헌,0.817
623,1,2.62,이승엽,0.899
517,1,2.54,이종욱,0.785
599,0,2.47,김문호,0.831
566,0,2.36,고종욱,0.825
530,0,2.29,김성현,0.794
381,1,2.27,마르테,0.877
422,1,2.19,김강민,0.809
492,1,2.19,고메즈,0.814
641,0,2.19,박해민,0.767
387,0,2.17,김주형,0.854
544,1,2.12,필,0.868
451,0,2.01,채은성,0.809
616,0,2,정의윤,0.858
460,1,1.93,이택근,0.811
472,0,1.93,이재원,0.799
609,0,1.91,허경민,0.745
347,0,1.8,김용의,0.8
654,0,1.75,이대형,0.726
472,1,1.71,이호준,0.902
424,1,1.66,이진영,0.883
409,0,1.61,손주인,0.798
401,1,1.57,박한이,0.854
484,1,1.43,오재원,0.713
272,1,1.41,아두치,0.81
418,1,1.37,정성훈,0.815
517,0,1.36,백상원,0.725
348,0,1.23,김성욱,0.802
325,0,1.18,김준완,0.724
207,0,1.18,조영훈,0.905
350,0,1.18,이병규,0.789
105,0,1.15,최재원,0.975
263,0,1.1,박정음,0.808
273,0,1.01,이홍구,0.783
147,0,1,모창민,0.874
441,0,1,하주석,0.733
419,0,0.98,이지영,0.711
238,0,0.91,노수광,0.779
454,0,0.85,박동원,0.72
468,0,0.84,박정권,0.797
190,1,0.84,발디리스,0.851
104,0,0.82,신본기,0.846
320,0,0.82,이천웅,0.778
219,0,0.81,이성열,0.855
231,0,0.8,최승준,0.942
282,0,0.79,조동찬,0.797
127,0,0.79,문선재,0.885
514,0,0.78,김호령,0.706
193,0,0.78,김재현,0.807
297,0,0.78,유강남,0.705
240,0,0.76,신종길,0.775
99,0,0.75,맥스웰,0.914
439,0,0.73,정훈,0.7
134,0,0.73,류지혁,0.763
381,0,0.71,배영섭,0.73
396,0,0.7,최준석,0.852
240,0,0.7,전민수,0.795
344,0,0.67,오정복,0.76
170,0,0.64,김민식,0.72
177,0,0.63,최정민,0.754
265,0,0.59,임병욱,0.732
65,0,0.57,나주환,1.12
415,0,0.57,김상호,0.76
150,0,0.56,김동엽,0.878
174,0,0.55,국해성,0.798
254,0,0.55,유민상,0.778
174,0,0.54,이흥련,0.769
288,0,0.49,박재상,0.794
137,0,0.47,서상우,0.8
149,0,0.46,윤요섭,0.784
82,0,0.46,윤정우,0.863
401,0,0.4,김상수,0.658
144,0,0.39,김준태,0.751
184,0,0.38,신성현,0.841
82,0,0.36,박헌도,0.871
22,0,0.36,이원석,1.153
25,0,0.35,최원준,1.083
106,0,0.32,김지수,0.793
85,0,0.31,최진행,0.834
103,0,0.28,박승욱,0.802
32,0,0.27,정진호,0.99
368,0,0.27,문규현,0.675
217,0,0.26,김경언,0.753
24,0,0.25,김태완,0.958
137,0,0.23,김종호,0.679
47,0,0.22,김다원,0.78
21,0,0.22,백창수,1.04
27,0,0.2,김선빈,0.905
113,0,0.19,전준우,0.723
17,0,0.19,지재옥,0.873
7,0,0.17,황대인,1.571
182,0,0.16,최주환,0.726
144,0,0.15,오준혁,0.749
15,0,0.13,박광열,0.8
9,0,0.13,박준혁,1.069
93,0,0.11,허도환,0.635
348,0,0.1,박기혁,0.666
15,0,0.1,김웅빈,1.043
27,0,0.1,이상호,0.693
90,0,0.08,김원섭,0.636
14,0,0.07,장시윤,0.629
215,0,0.06,양석환,0.721
49,0,0.06,권용관,0.653
305,0,0.05,정수빈,0.624
25,0,0.05,신현철,0.695
210,0,0.04,박세혁,0.639
5,0,0.04,고영민,0.9
47,0,0.04,권희동,0.703
20,0,0.02,한동민,0.628
52,0,0.02,안익훈,0.664
33,0,0.02,장영석,0.633
36,0,0.02,김사훈,0.744
17,0,0.02,오현근,0.494
61,0,0.01,최정용,0.685
147,0,0,이형종,0.737
446,0,0,양성우,0.701
